Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
418.7590,5.0096,284.6472,1425.9655

419.7580,5.0094,284.6484,1425.9101

420.7580,5.0090,284.6487,1425.7947

421.7580,5.0092,284.6506,1425.8680

422.7580,5.0088,284.6504,1425.7535

423.7580,5.0087,284.6517,1425.7225

424.7580,5.0085,284.6528,1425.6914

425.7580,5.0088,284.6537,1425.7703

426.7580,5.0084,284.6537,1425.6704

427.7580,5.0082,284.6563,1425.6299

428.7580,5.0081,284.6560,1425.5838

429.7580,5.0082,284.6572,1425.6232

430.7580,5.0081,284.6582,1425.5919

431.7580,5.0079,284.6580,1425.5498

432.7580,5.0076,284.6596,1425.4691

433.7580,5.0076,284.6605,1425.4773

434.7580,5.0075,284.6615,1425.4549

435.7590,5.0074,284.6637,1425.4143

436.7580,5.0074,284.6626,1425.4114

437.7580,5.0074,284.6644,1425.4145

438.7580,5.0070,284.6655,1425.3090

439.7580,5.0073,284.6663,1425.3978

440.7580,5.0073,284.6667,1425.4121

441.7580,5.0073,284.6677,1425.4048

442.7580,5.0069,284.6693,1425.3016

443.7580,5.0064,284.6708,1425.1740

444.7590,5.0067,284.6720,1425.2577

445.7590,5.0062,284.6727,1425.1253

446.7580,5.0067,284.6728,1425.2603

447.7580,5.0068,284.6722,1425.3016

448.7590,5.0067,284.6729,1425.2813

449.7580,5.0064,284.6746,1425.1987

450.7580,5.0061,284.6754,1425.1011

451.7590,5.0065,284.6767,1425.2454

452.7580,5.0058,284.6768,1425.0378

453.7580,5.0062,284.6789,1425.1647

454.7580,5.0059,284.6796,1425.0820

455.7580,5.0056,284.6794,1424.9914

456.7580,5.0055,284.6812,1424.9697

457.7580,5.0053,284.6822,1424.9338

458.7580,5.0055,284.6829,1424.9755

459.7580,5.0051,284.6844,1424.8638

460.7580,5.0050,284.6845,1424.8397

461.7580,5.0052,284.6868,1424.9065

462.7590,5.0041,284.6880,1424.6159

463.7580,5.0046,284.6905,1424.7733

464.7580,5.0037,284.6916,1424.5155

465.7590,5.0038,284.6947,1424.5462

466.7580,5.0034,284.6958,1424.4394

467.7580,5.0036,284.6963,1424.4959

468.7580,5.0035,284.6969,1424.4689

469.7580,5.0034,284.6971,1424.4594

470.7580,5.0029,284.6992,1424.3269

471.7580,5.0030,284.6999,1424.3588

472.7580,5.0032,284.7004,1424.3996

473.7590,5.0034,284.7006,1424.4798

474.7580,5.0032,284.6998,1424.4110

475.7580,5.0036,284.7014,1424.5202

476.7580,5.0038,284.7003,1424.5811

477.7580,5.0037,284.7009,1424.5701

