Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
59.2840,29.3283,28.0786,26.7721,25.6543,24.3584,29.2784,24.8911,29.7793,26.8383,29.5289,27.2676

60.2840,29.3287,28.0868,26.7756,25.6451,24.3603,29.2925,24.8994,29.7850,26.8393,29.5387,27.2717

61.2840,29.3461,28.0829,26.7708,25.6605,24.3660,29.2657,24.9097,29.7831,26.8453,29.5244,27.2731

62.2850,29.3463,28.0628,26.7530,25.6531,24.3458,29.3148,24.8672,29.7932,26.8322,29.5540,27.2670

63.2840,29.3460,28.0820,26.7685,25.6507,24.3771,29.2994,24.8785,29.7928,26.8449,29.5461,27.2744

64.2840,29.3426,28.0854,26.7384,25.6480,24.3709,29.2993,24.8848,29.7932,26.8371,29.5462,27.2703

65.2840,29.3155,28.0695,26.7319,25.6409,24.3617,29.2835,24.9089,29.7952,26.8239,29.5394,27.2634

66.2840,29.3351,28.0793,26.7554,25.6423,24.3530,29.3064,24.8938,29.7961,26.8330,29.5512,27.2702

67.2840,29.3491,28.0736,26.7614,25.6559,24.3543,29.3058,24.8913,29.7706,26.8389,29.5382,27.2703

68.2840,29.3511,28.0797,26.7629,25.6460,24.3511,29.2923,24.8781,29.7721,26.8382,29.5322,27.2667

69.2840,29.3474,28.0603,26.7533,25.6520,24.3564,29.2834,24.8832,29.7735,26.8339,29.5284,27.2637

70.2840,29.3478,28.0731,26.7430,25.6549,24.3450,29.2777,24.8790,29.7632,26.8328,29.5205,27.2605

71.2840,29.3471,28.0694,26.7479,25.6404,24.3566,29.2878,24.8824,29.7643,26.8323,29.5261,27.2620

72.2840,29.3545,28.0692,26.7453,25.6652,24.3569,29.2863,24.8746,29.7684,26.8382,29.5274,27.2651

73.2840,29.3571,28.0763,26.7468,25.6620,24.3675,29.2804,24.8799,29.7653,26.8419,29.5228,27.2669

74.2840,29.3706,28.0705,26.7522,25.6476,24.3400,29.2544,24.8967,29.7498,26.8362,29.5021,27.2602

75.2840,29.3522,28.0612,26.7364,25.6468,24.3428,29.2675,24.8827,29.7365,26.8279,29.5020,27.2533

76.2840,29.3344,28.0872,26.7656,25.6398,24.3481,29.2775,24.8941,29.7531,26.8350,29.5153,27.2625

77.2840,29.3397,28.0624,26.7347,25.6485,24.3633,29.2804,24.8664,29.7461,26.8297,29.5133,27.2552

78.2850,29.3435,28.0947,26.7410,25.6402,24.3538,29.2470,24.8789,29.7550,26.8346,29.5010,27.2568

79.2840,29.3459,28.0642,26.7511,25.6304,24.3549,29.2546,24.8715,29.7518,26.8293,29.5032,27.2530

80.2840,29.3325,28.0749,26.7585,25.6246,24.3627,29.2403,24.8803,29.7540,26.8306,29.4971,27.2535

81.2840,29.3130,28.0761,26.7498,25.6400,24.3487,29.2513,24.8783,29.7532,26.8255,29.5023,27.2513

82.2840,29.3321,28.0696,26.7428,25.6170,24.3509,29.2422,24.8627,29.7253,26.8225,29.4838,27.2428

83.2840,29.3319,28.0646,26.7609,25.6351,24.3483,29.2434,24.8979,29.7317,26.8282,29.4875,27.2517

84.2840,29.3419,28.0516,26.7621,25.6372,24.3546,29.2445,24.8721,29.7116,26.8295,29.4780,27.2469

85.2840,29.3362,28.0529,26.7261,25.6357,24.3536,29.2520,24.8871,29.7261,26.8209,29.4891,27.2462

86.2840,29.3324,28.0637,26.7572,25.6361,24.3579,29.2336,24.8691,29.7167,26.8294,29.4752,27.2458

87.2840,29.3185,28.0803,26.7488,25.6031,24.3533,29.2428,24.8725,29.7461,26.8208,29.4944,27.2457

88.2840,29.3341,28.0611,26.7405,25.6335,24.3719,29.2607,24.8722,29.7302,26.8282,29.4954,27.2505

89.2840,29.3228,28.0676,26.7371,25.6480,24.3510,29.2207,24.8688,29.7202,26.8253,29.4704,27.2420

90.2840,29.3332,28.0653,26.7433,25.6302,24.3492,29.2213,24.8556,29.7124,26.8243,29.4668,27.2388

91.2840,29.3296,28.0698,26.7473,25.6351,24.3545,29.2180,24.8696,29.6936,26.8273,29.4558,27.2397

92.2840,29.3203,28.0758,26.7448,25.6364,24.3727,29.2276,24.8670,29.7046,26.8300,29.4661,27.2437

93.2840,29.3328,28.0607,26.7443,25.6024,24.3687,29.2133,24.8742,29.7068,26.8218,29.4601,27.2379

94.2840,29.3520,28.0755,26.7370,25.6347,24.3473,29.2198,24.8739,29.6982,26.8293,29.4590,27.2423

95.2840,29.3306,28.0596,26.7498,25.6277,24.3811,29.2342,24.8843,29.6778,26.8298,29.4560,27.2431

96.2840,29.3335,28.0540,26.7385,25.6277,24.3670,29.1961,24.8655,29.7126,26.8241,29.4543,27.2368

97.2840,29.3102,28.0575,26.7401,25.6360,24.3611,29.2335,24.8704,29.6861,26.8210,29.4598,27.2369

98.2840,29.3346,28.0632,26.7515,25.6035,24.3539,29.2240,24.8658,29.6972,26.8213,29.4606,27.2367

99.2840,29.3267,28.0608,26.7397,25.6261,24.3786,29.2336,24.8719,29.6837,26.8264,29.4587,27.2401

100.2840,29.3144,28.0599,26.7482,25.6171,24.3818,29.2302,24.8629,29.6850,26.8243,29.4576,27.2374

101.2840,29.3062,28.0549,26.7498,25.6211,24.3647,29.2197,24.8589,29.6807,26.8194,29.4502,27.2320

102.2850,29.3142,28.0510,26.7360,25.6346,24.3443,29.2413,24.8630,29.6872,26.8160,29.4642,27.2339

103.2850,29.3111,28.0593,26.7335,25.6194,24.3960,29.2301,24.8728,29.6648,26.8238,29.4475,27.2359

104.2840,29.3281,28.0496,26.7261,25.6068,24.3856,29.2241,24.8573,29.6611,26.8192,29.4426,27.2298

105.2840,29.3251,28.0579,26.7231,25.6204,24.3695,29.2169,24.8595,29.6690,26.8192,29.4429,27.2302

106.2850,29.3159,28.0547,26.7472,25.6053,24.3687,29.2110,24.8681,29.6673,26.8184,29.4391,27.2298

107.2840,29.3407,28.0603,26.7368,25.6062,24.3794,29.1939,24.8449,29.6558,26.8247,29.4248,27.2273

108.2840,29.3255,28.0506,26.7459,25.6055,24.3585,29.2065,24.8422,29.6585,26.8172,29.4325,27.2242

109.2840,29.3302,28.0749,26.7194,25.6171,24.3765,29.1971,24.8520,29.6623,26.8236,29.4297,27.2287

110.2840,29.3124,28.0607,26.7207,25.6270,24.3874,29.2080,24.8510,29.6737,26.8217,29.4408,27.2301

111.2850,29.3123,28.0587,26.7451,25.6414,24.3731,29.1820,24.8414,29.6562,26.8261,29.4191,27.2263

112.2850,29.3294,28.0515,26.7308,25.6342,24.3652,29.2075,24.8573,29.6488,26.8222,29.4282,27.2281

113.2840,29.3402,28.0693,26.7312,25.6228,24.3765,29.2037,24.8714,29.6549,26.8280,29.4293,27.2338

114.2840,29.3201,28.0521,26.7277,25.6400,24.3734,29.2105,24.8660,29.6583,26.8227,29.4344,27.2310

115.2840,29.3179,28.0489,26.7584,25.6321,24.3641,29.1904,24.8581,29.6641,26.8243,29.4273,27.2293

116.2840,29.3003,28.0604,26.7445,25.6186,24.3757,29.1803,24.8545,29.6489,26.8199,29.4146,27.2229

117.2840,29.3382,28.0631,26.7368,25.6123,24.3632,29.1910,24.8657,29.6623,26.8227,29.4266,27.2291

118.2840,29.3426,28.0585,26.7294,25.6200,24.3969,29.1605,24.8578,29.6657,26.8295,29.4131,27.2289

119.2840,29.3218,28.0531,26.7206,25.6283,24.3454,29.1685,24.8665,29.6436,26.8138,29.4060,27.2185

120.2840,29.3244,28.0570,26.7293,25.6176,24.3720,29.1889,24.8487,29.6400,26.8201,29.4145,27.2223

121.2840,29.3125,28.0602,26.7438,25.6108,24.3653,29.1676,24.8736,29.6545,26.8185,29.4110,27.2235

122.2840,29.3272,28.0668,26.7334,25.6326,24.3895,29.1672,24.8434,29.6452,26.8299,29.4062,27.2257

123.2840,29.3420,28.0569,26.7438,25.6326,24.3680,29.1886,24.8713,29.6308,26.8287,29.4097,27.2293

124.2840,29.3349,28.0775,26.7366,25.6320,24.3708,29.1966,24.8854,29.6322,26.8304,29.4144,27.2333

125.2840,29.3356,28.0640,26.7340,25.6175,24.3701,29.1804,24.8591,29.6141,26.8242,29.3972,27.2218

126.2840,29.3272,28.0632,26.7444,25.6454,24.3843,29.1884,24.8586,29.6071,26.8329,29.3978,27.2273

127.2840,29.3409,28.0428,26.7301,25.6203,24.3452,29.1984,24.8746,29.6373,26.8159,29.4178,27.2237

128.2840,29.3253,28.0720,26.7316,25.6236,24.3843,29.1964,24.8609,29.6348,26.8274,29.4156,27.2286

129.2850,29.3627,28.0630,26.7410,25.6335,24.3718,29.2126,24.8703,29.6365,26.8344,29.4246,27.2364

130.2840,29.3122,28.0547,26.7378,25.6289,24.3692,29.2077,24.8913,29.6339,26.8206,29.4208,27.2295

131.2840,29.3458,28.0640,26.7287,25.6179,24.3619,29.2061,24.8642,29.6215,26.8237,29.4138,27.2263

132.2840,29.3363,28.0727,26.7412,25.6409,24.3731,29.2248,24.8701,29.6294,26.8329,29.4271,27.2361

133.2840,29.3123,28.0524,26.7421,25.6309,24.3376,29.2158,24.8810,29.6091,26.8151,29.4124,27.2227

134.2850,29.3585,28.0440,26.7285,25.6220,24.4086,29.2145,24.8942,29.6073,26.8323,29.4109,27.2347

135.2840,29.3472,28.0688,26.7133,25.6195,24.3822,29.2282,24.8710,29.6337,26.8262,29.4309,27.2330

136.2840,29.3428,28.0600,26.7455,25.6380,24.3726,29.2252,24.8635,29.6152,26.8318,29.4202,27.2329

137.2840,29.3305,28.0736,26.7530,25.6134,24.3517,29.2256,24.8649,29.6391,26.8244,29.4324,27.2315

138.2840,29.3318,28.0470,26.7268,25.6213,24.3610,29.2066,24.8760,29.6220,26.8176,29.4143,27.2241

139.2840,29.3526,28.0547,26.7298,25.6346,24.3720,29.2284,24.8648,29.6033,26.8287,29.4158,27.2300

140.2840,29.3261,28.0585,26.7209,25.6186,24.3676,29.2523,24.8672,29.6008,26.8183,29.4266,27.2265

141.2840,29.3578,28.0588,26.7320,25.6146,24.3819,29.2439,24.8699,29.5986,26.8290,29.4213,27.2322

142.2840,29.3323,28.0625,26.7107,25.6353,24.3696,29.2401,24.8797,29.6155,26.8221,29.4278,27.2307

143.2840,29.3307,28.0709,26.7447,25.6060,24.3656,29.2315,24.8603,29.6134,26.8236,29.4224,27.2279

144.2840,29.3571,28.0633,26.7266,25.6196,24.3651,29.2493,24.8616,29.5946,26.8263,29.4220,27.2297

145.2840,29.3445,28.0880,26.7363,25.6401,24.3653,29.2509,24.8826,29.6154,26.8348,29.4332,27.2404

146.2840,29.3473,28.0539,26.7195,25.6172,24.3893,29.2597,24.8687,29.5810,26.8254,29.4204,27.2296

147.2840,29.3387,28.0612,26.7410,25.6449,24.3463,29.2705,24.8935,29.5998,26.8264,29.4352,27.2370

148.2840,29.3409,28.0707,26.7321,25.6218,24.3456,29.2581,24.8718,29.6010,26.8222,29.4295,27.2302

149.2840,29.3353,28.0578,26.7377,25.6396,24.3537,29.2633,24.8684,29.6114,26.8248,29.4374,27.2334

150.2850,29.3577,28.0655,26.7453,25.6502,24.3606,29.2932,24.8648,29.5962,26.8358,29.4447,27.2417

151.2840,29.3432,28.0531,26.7344,25.6359,24.3697,29.2783,24.8684,29.6020,26.8273,29.4401,27.2356

152.2840,29.3157,28.0449,26.7336,25.6342,24.3648,29.2856,24.8701,29.5891,26.8186,29.4373,27.2297

153.2840,29.3360,28.0685,26.7511,25.6475,24.3629,29.3077,24.8607,29.5848,26.8332,29.4463,27.2399

154.2840,29.3429,28.0858,26.7194,25.6129,24.3835,29.3010,24.8662,29.5945,26.8289,29.4478,27.2383

155.2840,29.3301,28.0736,26.7209,25.6247,24.3787,29.3099,24.8611,29.5926,26.8256,29.4513,27.2364

156.2840,29.3416,28.0647,26.7516,25.6512,24.3671,29.2847,24.8876,29.6088,26.8352,29.4467,27.2447

157.2840,29.3144,28.0549,26.7465,25.6452,24.3611,29.3064,24.8716,29.5793,26.8244,29.4428,27.2349

158.2840,29.3202,28.0631,26.7297,25.6336,24.3876,29.2901,24.8496,29.5808,26.8269,29.4354,27.2318

159.2840,29.3254,28.0810,26.7335,25.6435,24.3758,29.2844,24.8907,29.5944,26.8318,29.4394,27.2411

160.2840,29.3172,28.0623,26.7341,25.6493,24.3700,29.2801,24.8885,29.5816,26.8266,29.4308,27.2354

161.2850,29.3464,28.0548,26.7342,25.6409,24.3441,29.2740,24.8706,29.5614,26.8241,29.4177,27.2283

162.2840,29.3097,28.0762,26.7268,25.6297,24.3894,29.3031,24.8836,29.5726,26.8264,29.4378,27.2364

163.2840,29.3251,28.0631,26.7095,25.6294,24.3855,29.2757,24.8700,29.5829,26.8225,29.4293,27.2302

164.2840,29.3559,28.0590,26.7134,25.6375,24.4013,29.3032,24.8639,29.5737,26.8334,29.4384,27.2385

165.2840,29.3060,28.0742,26.7229,25.6617,24.4013,29.3102,24.8678,29.5727,26.8332,29.4415,27.2396

166.2840,29.3237,28.0667,26.7164,25.6415,24.3954,29.2780,24.8608,29.5692,26.8287,29.4236,27.2315

167.2840,29.3187,28.0584,26.7496,25.6544,24.3734,29.2947,24.8841,29.5812,26.8309,29.4380,27.2393

168.2840,29.3196,28.0644,26.7348,25.6504,24.4022,29.3285,24.8792,29.5661,26.8343,29.4473,27.2431

169.2840,29.3430,28.0680,26.7266,25.6370,24.3794,29.3303,24.8776,29.5623,26.8308,29.4463,27.2405

170.2840,29.3267,28.0755,26.7299,25.6654,24.3853,29.3451,24.8791,29.5690,26.8365,29.4571,27.2470

171.2840,29.3328,28.0736,26.7289,25.6191,24.3908,29.3168,24.8767,29.5666,26.8290,29.4417,27.2381

172.2840,29.3239,28.0502,26.7239,25.6334,24.3876,29.3239,24.8650,29.5474,26.8238,29.4356,27.2319

173.2840,29.3352,28.0725,26.7297,25.6250,24.3847,29.3305,24.9029,29.5680,26.8294,29.4492,27.2436

174.2840,29.3316,28.0791,26.7448,25.6302,24.4067,29.3326,24.8704,29.5560,26.8385,29.4443,27.2439

175.2840,29.3132,28.0588,26.7222,25.6440,24.3796,29.3141,24.8652,29.5592,26.8236,29.4366,27.2320

176.2850,29.3251,28.0842,26.7292,25.6085,24.3746,29.3406,24.8750,29.5589,26.8243,29.4498,27.2370

