Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
441.3160,5.0766,283.9814,1441.6476

442.3160,5.0767,283.9815,1441.6907

443.3160,5.0767,283.9819,1441.6992

444.3160,5.0761,283.9845,1441.5235

445.3160,5.0762,283.9841,1441.5582

446.3160,5.0757,283.9870,1441.4234

447.3160,5.0761,283.9855,1441.5397

448.3160,5.0760,283.9863,1441.5259

449.3160,5.0756,283.9884,1441.4247

450.3160,5.0761,283.9875,1441.5516

451.3160,5.0758,283.9892,1441.4792

452.3160,5.0760,283.9883,1441.5380

453.3160,5.0760,283.9891,1441.5244

454.3160,5.0764,283.9890,1441.6317

455.3160,5.0768,283.9870,1441.7396

456.3160,5.0771,283.9858,1441.8307

457.3160,5.0768,283.9877,1441.7543

458.3160,5.0771,283.9878,1441.8308

459.3160,5.0772,283.9874,1441.8540

460.3160,5.0759,283.9931,1441.5176

461.3160,5.0629,284.0509,1438.1149

462.3160,5.0583,284.0737,1436.9256

463.3170,5.0576,284.0780,1436.7562

464.3160,5.0567,284.0824,1436.5262

465.3160,5.0560,284.0857,1436.3272

466.3170,5.0556,284.0887,1436.2408

467.3160,5.0553,284.0903,1436.1665

468.3170,5.0550,284.0920,1436.0930

469.3160,5.0549,284.0931,1436.0494

470.3160,5.0547,284.0937,1436.0154

471.3170,5.0546,284.0952,1435.9784

472.3160,5.0542,284.0970,1435.8915

473.3160,5.0541,284.0986,1435.8505

474.3160,5.0540,284.0990,1435.8281

475.3160,5.0540,284.1001,1435.8302

476.3160,5.0540,284.1003,1435.8551

477.3160,5.0542,284.1004,1435.8918

478.3160,5.0542,284.1010,1435.8967

479.3160,5.0539,284.1028,1435.8406

480.3160,5.0540,284.1034,1435.8458

481.3160,5.0539,284.1039,1435.8232

482.3160,5.0537,284.1046,1435.7841

483.3160,5.0536,284.1060,1435.7532

484.3160,5.0535,284.1069,1435.7212

485.3160,5.0532,284.1074,1435.6627

486.3160,5.0531,284.1088,1435.6213

487.3160,5.0532,284.1091,1435.6640

488.3160,5.0531,284.1100,1435.6432

489.3160,5.0534,284.1097,1435.7210

490.3160,5.0532,284.1114,1435.6733

491.3160,5.0532,284.1115,1435.6861

492.3160,5.0530,284.1123,1435.6260

493.3160,5.0531,284.1122,1435.6521

494.3160,5.0534,284.1121,1435.7418

495.3160,5.0535,284.1113,1435.7543

496.3160,5.0539,284.1112,1435.8555

497.3160,5.0541,284.1102,1435.9153

498.3160,5.0541,284.1101,1435.9223

499.3170,5.0538,284.1132,1435.8626

500.3160,5.0532,284.1161,1435.6821

501.3160,5.0527,284.1184,1435.5639

502.3160,5.0517,284.1237,1435.2997

503.3160,5.0494,284.1343,1434.6984

